"Date","Price","Open","High","Low","Change %"
"03/03/2020","114.371","114.371","114.371","114.371","1.79%"
"03/02/2020","112.359","112.359","112.359","112.359","-1.52%"
"03/01/2020","114.095","113.516","114.095","113.516","1.20%"
"02/28/2020","112.742","112.742","112.742","112.742","0.95%"
"02/27/2020","111.679","111.679","111.679","111.679","0.32%"
"02/26/2020","111.325","111.325","111.325","111.325","0.73%"
"02/25/2020","110.522","110.522","110.522","110.522","-0.13%"
"02/24/2020","110.665","110.665","110.665","110.665","-0.31%"
"02/23/2020","111.012","111.012","111.012","111.012","0.02%"
"02/21/2020","110.993","110.993","110.993","110.993","0.95%"
"02/20/2020","109.947","109.947","109.947","109.947","0.26%"
"02/19/2020","109.665","109.665","109.665","109.665","0.02%"
"02/18/2020","109.642","109.642","109.642","109.642","0.10%"
"02/17/2020","109.529","109.529","109.529","109.529","0.07%"
"02/16/2020","109.450","109.450","109.450","109.450","0.00%"
"02/14/2020","109.450","109.450","109.450","109.450","0.84%"
"02/13/2020","108.536","108.536","108.536","108.536","0.36%"
"02/12/2020","108.142","108.142","108.142","108.142","-0.51%"
"02/11/2020","108.691","108.691","108.691","108.691","-0.75%"
"02/10/2020","109.510","109.510","109.510","109.510","-0.56%"
"02/09/2020","110.130","110.210","110.210","110.069","0.23%"
"02/07/2020","109.873","109.873","109.873","109.873","1.02%"
"02/06/2020","108.764","108.764","108.764","108.764","0.31%"
"02/05/2020","108.431","108.431","108.431","108.431","0.34%"
"02/04/2020","108.064","108.064","108.064","108.064","-0.93%"
"02/03/2020","109.078","109.078","109.078","109.078","0.28%"
"02/02/2020","108.769","109.048","109.062","108.769","-0.43%"
"01/31/2020","109.244","109.244","109.244","109.244","0.18%"
"01/30/2020","109.047","109.047","109.047","109.047","-0.69%"
"01/29/2020","109.807","109.807","109.807","109.807","1.40%"
"01/28/2020","108.290","108.290","108.290","108.290","-1.30%"
"01/27/2020","109.721","109.721","109.721","109.721","0.56%"
"01/26/2020","109.106","109.148","109.148","109.092","0.69%"
"01/24/2020","108.361","108.361","108.361","108.361","-0.03%"
"01/23/2020","108.389","108.389","108.389","108.389","0.28%"
"01/22/2020","108.085","108.085","108.085","108.085","0.21%"
"01/21/2020","107.863","107.863","107.863","107.863","1.12%"
"01/20/2020","106.670","106.670","106.670","106.670","0.14%"
"01/19/2020","106.516","106.516","106.516","106.516","-0.18%"
"01/17/2020","106.709","106.709","106.709","106.709","0.45%"
"01/16/2020","106.231","106.231","106.231","106.231","-0.79%"
"01/15/2020","107.072","107.072","107.072","107.072","0.20%"
"01/14/2020","106.862","106.862","106.862","106.862","0.98%"
